// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 3 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// ***** Done, took 00:00:00 (0.13 sec)   *****
// Found 3 benchmarks:
//   BaseBenchmark.BasePingAsync: InProcess(Toolchain=InProcessEmitToolchain)
//   BaseBenchmark.BasePing: InProcess(Toolchain=InProcessEmitToolchain)
//   BaseBenchmark.CustomPingAsync: InProcess(Toolchain=InProcessEmitToolchain)

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: BaseBenchmark.BasePingAsync: InProcess(Toolchain=InProcessEmitToolchain)
// *** Execute ***
// Launch: 1 / 1

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0-preview4-27615-11 (CoreCLR 4.6.27615.73, CoreFX 4.700.19.21213), 64bit RyuJIT
// GC=Concurrent Server
// Job: Job-VFKXKE(Toolchain=InProcessEmitToolchain)

WorkloadWarmup   2: 4194304 op, 522833700.00 ns, 124.6533 ns/op
WorkloadWarmup   3: 4194304 op, 521156700.00 ns, 124.2534 ns/op
WorkloadWarmup   4: 4194304 op, 532013500.00 ns, 126.8419 ns/op
WorkloadWarmup   5: 4194304 op, 518085500.00 ns, 123.5212 ns/op
WorkloadWarmup   6: 4194304 op, 528461500.00 ns, 125.9950 ns/op
WorkloadWarmup   7: 4194304 op, 521341000.00 ns, 124.2974 ns/op

WorkloadActual   1: 4194304 op, 533906000.00 ns, 127.2931 ns/op
WorkloadActual   2: 4194304 op, 545136300.00 ns, 129.9706 ns/op
WorkloadActual   3: 4194304 op, 545742700.00 ns, 130.1152 ns/op
WorkloadActual   4: 4194304 op, 545973200.00 ns, 130.1702 ns/op
WorkloadActual   5: 4194304 op, 536359200.00 ns, 127.8780 ns/op
WorkloadActual   6: 4194304 op, 531810400.00 ns, 126.7935 ns/op
WorkloadActual   7: 4194304 op, 530324200.00 ns, 126.4391 ns/op
WorkloadActual   8: 4194304 op, 532136100.00 ns, 126.8711 ns/op
WorkloadActual   9: 4194304 op, 532046500.00 ns, 126.8498 ns/op
WorkloadActual  10: 4194304 op, 534698300.00 ns, 127.4820 ns/op
WorkloadActual  11: 4194304 op, 528562800.00 ns, 126.0192 ns/op
WorkloadActual  12: 4194304 op, 528143400.00 ns, 125.9192 ns/op
WorkloadActual  13: 4194304 op, 527998000.00 ns, 125.8845 ns/op
WorkloadActual  14: 4194304 op, 529661700.00 ns, 126.2812 ns/op
WorkloadActual  15: 4194304 op, 528024200.00 ns, 125.8908 ns/op

WorkloadResult   1: 4194304 op, 511193800.00 ns, 121.8781 ns/op
WorkloadResult   2: 4194304 op, 522424100.00 ns, 124.5556 ns/op
WorkloadResult   3: 4194304 op, 523030500.00 ns, 124.7002 ns/op
WorkloadResult   4: 4194304 op, 523261000.00 ns, 124.7551 ns/op
WorkloadResult   5: 4194304 op, 513647000.00 ns, 122.4630 ns/op
WorkloadResult   6: 4194304 op, 509098200.00 ns, 121.3785 ns/op
WorkloadResult   7: 4194304 op, 507612000.00 ns, 121.0241 ns/op
WorkloadResult   8: 4194304 op, 509423900.00 ns, 121.4561 ns/op
