// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 3 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// ***** Done, took 00:00:00 (0.13 sec)   *****
// Found 3 benchmarks:
//   BaseBenchmark.BasePingAsync: InProcess(Toolchain=InProcessEmitToolchain)
//   BaseBenchmark.BasePing: InProcess(Toolchain=InProcessEmitToolchain)
//   BaseBenchmark.CustomPingAsync: InProcess(Toolchain=InProcessEmitToolchain)

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: BaseBenchmark.BasePingAsync: InProcess(Toolchain=InProcessEmitToolchain)
// *** Execute ***
// Launch: 1 / 1

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0-preview4-27615-11 (CoreCLR 4.6.27615.73, CoreFX 4.700.19.21213), 64bit RyuJIT
// GC=Concurrent Server
// Job: Job-KAAKYE(Toolchain=InProcessEmitToolchain)

WorkloadResult   3: 4194304 op, 546419400.00 ns, 130.2765 ns/op
WorkloadResult   4: 4194304 op, 548431400.00 ns, 130.7562 ns/op
WorkloadResult   5: 4194304 op, 548663900.00 ns, 130.8117 ns/op
WorkloadResult   6: 4194304 op, 547420900.00 ns, 130.5153 ns/op
WorkloadResult   7: 4194304 op, 544376200.00 ns, 129.7894 ns/op
WorkloadResult   8: 4194304 op, 547346900.00 ns, 130.4977 ns/op
WorkloadResult   9: 4194304 op, 545778200.00 ns, 130.1237 ns/op
WorkloadResult  10: 4194304 op, 543943600.00 ns, 129.6863 ns/op
WorkloadResult  11: 4194304 op, 557975900.00 ns, 133.0318 ns/op
WorkloadResult  12: 4194304 op, 548910600.00 ns, 130.8705 ns/op
WorkloadResult  13: 4194304 op, 544993300.00 ns, 129.9365 ns/op
GC:  32 0 0 603979776 4194304


Mean = 130.5485 ns, StdErr = 0.2476 ns (0.19%); N = 13, StdDev = 0.8928 ns
Min = 129.6443 ns, Q1 = 129.8630 ns, Median = 130.4977 ns, Q3 = 130.8411 ns, Max = 133.0318 ns
IQR = 0.9781 ns, LowerFence = 128.3958 ns, UpperFence = 132.3082 ns
ConfidenceInterval = [129.4793 ns; 131.6176 ns] (CI 99.9%), Margin = 1.0692 ns (0.82% of Mean)
Skewness = 1.46, Kurtosis = 4.84, MValue = 2

Successfully reverted power plan (GUID: 381b4222-f694-41f0-9685-ff5bb260df2e FriendlyName: Balanced)
