// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 3 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// ***** Done, took 00:00:00 (0.12 sec)   *****
// Found 3 benchmarks:
//   CustomActorBenchmarks.ProtoActorPing: InProcess(Toolchain=InProcessEmitToolchain) [Concurrency=1]
//   CustomActorBenchmarks.ProtoActorPing: InProcess(Toolchain=InProcessEmitToolchain) [Concurrency=100]
//   CustomActorBenchmarks.ProtoActorPing: InProcess(Toolchain=InProcessEmitToolchain) [Concurrency=1000]

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: CustomActorBenchmarks.ProtoActorPing: InProcess(Toolchain=InProcessEmitToolchain) [Concurrency=1]
// *** Execute ***
// Launch: 1 / 1

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0-preview4-27615-11 (CoreCLR 4.6.27615.73, CoreFX 4.700.19.21213), 64bit RyuJIT
// GC=Concurrent Server
// Job: Job-IBMQBP(Toolchain=InProcessEmitToolchain)

  BenchmarkDotNet.Artifacts\results\ActorFrameworkBenchmarks.CustomActorBenchmarks-report.html

// * Detailed results *
CustomActorBenchmarks.ProtoActorPing: InProcess(Toolchain=InProcessEmitToolchain) [Concurrency=1]
Runtime = ; GC = 
Mean = 173.2366 ns, StdErr = 0.2551 ns (0.15%); N = 14, StdDev = 0.9543 ns
Min = 172.0174 ns, Q1 = 172.5049 ns, Median = 172.9681 ns, Q3 = 173.9300 ns, Max = 174.8341 ns
IQR = 1.4250 ns, LowerFence = 170.3674 ns, UpperFence = 176.0675 ns
ConfidenceInterval = [172.1600 ns; 174.3131 ns] (CI 99.9%), Margin = 1.0765 ns (0.62% of Mean)
Skewness = 0.39, Kurtosis = 1.61, MValue = 2
-------------------- Histogram --------------------
[171.671 ns ; 175.181 ns) | @@@@@@@@@@@@@@
---------------------------------------------------

CustomActorBenchmarks.ProtoActorPing: InProcess(Toolchain=InProcessEmitToolchain) [Concurrency=100]
Runtime = ; GC = 
Mean = 21.8196 us, StdErr = 0.0224 us (0.10%); N = 14, StdDev = 0.0840 us
Min = 21.6951 us, Q1 = 21.7612 us, Median = 21.8259 us, Q3 = 21.8938 us, Max = 21.9506 us
IQR = 0.1326 us, LowerFence = 21.5623 us, UpperFence = 22.0927 us
ConfidenceInterval = [21.7249 us; 21.9143 us] (CI 99.9%), Margin = 0.0947 us (0.43% of Mean)
Skewness = -0.14, Kurtosis = 1.56, MValue = 2
-------------------- Histogram --------------------
[21.665 us ; 21.981 us) | @@@@@@@@@@@@@@
---------------------------------------------------

