// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 4 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// ***** Done, took 00:00:00 (0.15 sec)   *****
// Found 4 benchmarks:
//   BaseBenchmark.BasePing: InProcess(Toolchain=InProcessEmitToolchain) [Count=1]
//   BaseBenchmark.CustomPing: InProcess(Toolchain=InProcessEmitToolchain) [Count=1]
//   BaseBenchmark.BasePing: InProcess(Toolchain=InProcessEmitToolchain) [Count=10000]
//   BaseBenchmark.CustomPing: InProcess(Toolchain=InProcessEmitToolchain) [Count=10000]

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: BaseBenchmark.BasePing: InProcess(Toolchain=InProcessEmitToolchain) [Count=1]
// *** Execute ***
// Launch: 1 / 1

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0-preview4-27615-11 (CoreCLR 4.6.27615.73, CoreFX 4.700.19.21213), 64bit RyuJIT
// GC=Concurrent Server
// Job: Job-NVMJKU(Toolchain=InProcessEmitToolchain)

OverheadActual   6: 2048 op, 12300.00 ns, 6.0059 ns/op
OverheadActual   7: 2048 op, 19800.00 ns, 9.6680 ns/op
OverheadActual   8: 2048 op, 13000.00 ns, 6.3477 ns/op
OverheadActual   9: 2048 op, 12000.00 ns, 5.8594 ns/op
OverheadActual  10: 2048 op, 12900.00 ns, 6.2988 ns/op
OverheadActual  11: 2048 op, 13300.00 ns, 6.4941 ns/op
OverheadActual  12: 2048 op, 12100.00 ns, 5.9082 ns/op
OverheadActual  13: 2048 op, 12700.00 ns, 6.2012 ns/op
OverheadActual  14: 2048 op, 13900.00 ns, 6.7871 ns/op
OverheadActual  15: 2048 op, 12400.00 ns, 6.0547 ns/op
OverheadActual  16: 2048 op, 13700.00 ns, 6.6895 ns/op
OverheadActual  17: 2048 op, 12100.00 ns, 5.9082 ns/op
OverheadActual  18: 2048 op, 12400.00 ns, 6.0547 ns/op
OverheadActual  19: 2048 op, 12300.00 ns, 6.0059 ns/op
OverheadActual  20: 2048 op, 12500.00 ns, 6.1035 ns/op

WorkloadWarmup   1: 2048 op, 531707400.00 ns, 259.6228 us/op
WorkloadWarmup   2: 2048 op, 531767100.00 ns, 259.6519 us/op
WorkloadWarmup   3: 2048 op, 531134800.00 ns, 259.3432 us/op
WorkloadWarmup   4: 2048 op, 531474000.00 ns, 259.5088 us/op
WorkloadWarmup   5: 2048 op, 530968600.00 ns, 259.2620 us/op
WorkloadWarmup   6: 2048 op, 531025400.00 ns, 259.2897 us/op

WorkloadActual   1: 2048 op, 531336600.00 ns, 259.4417 us/op
WorkloadActual   2: 2048 op, 531625300.00 ns, 259.5827 us/op
WorkloadActual   3: 2048 op, 531595700.00 ns, 259.5682 us/op
WorkloadActual   4: 2048 op, 533062300.00 ns, 260.2843 us/op
WorkloadActual   5: 2048 op, 532319300.00 ns, 259.9215 us/op
WorkloadActual   6: 2048 op, 531048600.00 ns, 259.3011 us/op
WorkloadActual   7: 2048 op, 531820800.00 ns, 259.6781 us/op
WorkloadActual   8: 2048 op, 531540000.00 ns, 259.5410 us/op
WorkloadActual   9: 2048 op, 531613800.00 ns, 259.5771 us/op
WorkloadActual  10: 2048 op, 531088100.00 ns, 259.3204 us/op
WorkloadActual  11: 2048 op, 531737000.00 ns, 259.6372 us/op
WorkloadActual  12: 2048 op, 536975800.00 ns, 262.1952 us/op
WorkloadActual  13: 2048 op, 536334900.00 ns, 261.8823 us/op
WorkloadActual  14: 2048 op, 531676200.00 ns, 259.6075 us/op
WorkloadActual  15: 2048 op, 530958600.00 ns, 259.2571 us/op

WorkloadResult   1: 2048 op, 531324000.00 ns, 259.4355 us/op
WorkloadResult   2: 2048 op, 531612700.00 ns, 259.5765 us/op
WorkloadResult   3: 2048 op, 531583100.00 ns, 259.5621 us/op
WorkloadResult   4: 2048 op, 533049700.00 ns, 260.2782 us/op
WorkloadResult   5: 2048 op, 532306700.00 ns, 259.9154 us/op
WorkloadResult   6: 2048 op, 531036000.00 ns, 259.2949 us/op
WorkloadResult   7: 2048 op, 531808200.00 ns, 259.6720 us/op
WorkloadResult   8: 2048 op, 531527400.00 ns, 259.5349 us/op
WorkloadResult   9: 2048 op, 531601200.00 ns, 259.5709 us/op
WorkloadResult  10: 2048 op, 531075500.00 ns, 259.3142 us/op
WorkloadResult  11: 2048 op, 531724400.00 ns, 259.6311 us/op
WorkloadResult  12: 2048 op, 531663600.00 ns, 259.6014 us/op
WorkloadResult  13: 2048 op, 530946000.00 ns, 259.2510 us/op
GC:  0 0 0 0 2048


Mean = 259.5875 us, StdErr = 0.0757 us (0.03%); N = 13, StdDev = 0.2730 us
Min = 259.2510 us, Q1 = 259.3749 us, Median = 259.5709 us, Q3 = 259.6515 us, Max = 260.2782 us
IQR = 0.2766 us, LowerFence = 258.9599 us, UpperFence = 260.0665 us
ConfidenceInterval = [259.2606 us; 259.9144 us] (CI 99.9%), Margin = 0.3269 us (0.13% of Mean)
Skewness = 1.05, Kurtosis = 3.68, MValue = 2

// **************************
// Benchmark: BaseBenchmark.CustomPing: InProcess(Toolchain=InProcessEmitToolchain) [Count=10000]
// *** Execute ***
// Launch: 1 / 1

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0-preview4-27615-11 (CoreCLR 4.6.27615.73, CoreFX 4.700.19.21213), 64bit RyuJIT
// GC=Concurrent Server
// Job: Job-NVMJKU(Toolchain=InProcessEmitToolchain)

OverheadJitting  1: 1 op, 443200.00 ns, 443.2000 us/op
WorkloadJitting  1: 1 op, 1517600.00 ns, 1.5176 ms/op

OverheadJitting  2: 16 op, 1016700.00 ns, 63.5437 us/op
WorkloadJitting  2: 16 op, 15150300.00 ns, 946.8937 us/op

WorkloadPilot    1: 16 op, 11245400.00 ns, 702.8375 us/op
WorkloadPilot    2: 32 op, 22514200.00 ns, 703.5688 us/op
WorkloadPilot    3: 64 op, 45106500.00 ns, 704.7891 us/op
WorkloadPilot    4: 128 op, 88808100.00 ns, 693.8133 us/op
WorkloadPilot    5: 256 op, 177774000.00 ns, 694.4297 us/op
WorkloadPilot    6: 512 op, 355261300.00 ns, 693.8697 us/op
WorkloadPilot    7: 1024 op, 714311200.00 ns, 697.5695 us/op

OverheadWarmup   1: 1024 op, 16100.00 ns, 15.7227 ns/op
OverheadWarmup   2: 1024 op, 9100.00 ns, 8.8867 ns/op
OverheadWarmup   3: 1024 op, 7900.00 ns, 7.7148 ns/op
OverheadWarmup   4: 1024 op, 8300.00 ns, 8.1055 ns/op
OverheadWarmup   5: 1024 op, 10600.00 ns, 10.3516 ns/op
OverheadWarmup   6: 1024 op, 6300.00 ns, 6.1523 ns/op
OverheadWarmup   7: 1024 op, 7600.00 ns, 7.4219 ns/op
OverheadWarmup   8: 1024 op, 6200.00 ns, 6.0547 ns/op

OverheadActual   1: 1024 op, 7100.00 ns, 6.9336 ns/op
OverheadActual   2: 1024 op, 6400.00 ns, 6.2500 ns/op
OverheadActual   3: 1024 op, 6300.00 ns, 6.1523 ns/op
OverheadActual   4: 1024 op, 7000.00 ns, 6.8359 ns/op
OverheadActual   5: 1024 op, 6100.00 ns, 5.9570 ns/op
