// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 6 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// ***** Done, took 00:00:00 (0.13 sec)   *****
// Found 3 benchmarks:
//   OrleansBenchmarks.OrleansPing: InProcess(Toolchain=InProcessEmitToolchain) [Concurrency=1]
//   OrleansBenchmarks.OrleansPing: InProcess(Toolchain=InProcessEmitToolchain) [Concurrency=100]
//   OrleansBenchmarks.OrleansPing: InProcess(Toolchain=InProcessEmitToolchain) [Concurrency=1000]

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: OrleansBenchmarks.OrleansPing: InProcess(Toolchain=InProcessEmitToolchain) [Concurrency=1]
// *** Execute ***
// Launch: 1 / 1

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0-preview4-27615-11 (CoreCLR 4.6.27615.73, CoreFX 4.700.19.21213), 64bit RyuJIT
// GC=Concurrent Server
// Job: Job-UTASSH(Toolchain=InProcessEmitToolchain)

OverheadWarmup   3: 128 op, 1500.00 ns, 11.7188 ns/op
OverheadWarmup   4: 128 op, 1700.00 ns, 13.2812 ns/op
OverheadWarmup   5: 128 op, 1600.00 ns, 12.5000 ns/op
OverheadWarmup   6: 128 op, 2000.00 ns, 15.6250 ns/op
OverheadWarmup   7: 128 op, 5000.00 ns, 39.0625 ns/op
OverheadWarmup   8: 128 op, 1800.00 ns, 14.0625 ns/op

OverheadActual   1: 128 op, 4500.00 ns, 35.1562 ns/op
OverheadActual   2: 128 op, 1600.00 ns, 12.5000 ns/op
OverheadActual   3: 128 op, 1600.00 ns, 12.5000 ns/op
OverheadActual   4: 128 op, 1500.00 ns, 11.7188 ns/op
OverheadActual   5: 128 op, 1600.00 ns, 12.5000 ns/op
OverheadActual   6: 128 op, 1600.00 ns, 12.5000 ns/op
OverheadActual   7: 128 op, 1500.00 ns, 11.7188 ns/op
OverheadActual   8: 128 op, 1900.00 ns, 14.8438 ns/op
OverheadActual   9: 128 op, 1700.00 ns, 13.2812 ns/op
OverheadActual  10: 128 op, 1800.00 ns, 14.0625 ns/op
OverheadActual  11: 128 op, 1600.00 ns, 12.5000 ns/op
OverheadActual  12: 128 op, 1800.00 ns, 14.0625 ns/op
OverheadActual  13: 128 op, 2100.00 ns, 16.4062 ns/op
OverheadActual  14: 128 op, 4900.00 ns, 38.2812 ns/op
OverheadActual  15: 128 op, 1600.00 ns, 12.5000 ns/op
OverheadActual  16: 128 op, 1500.00 ns, 11.7188 ns/op
OverheadActual  17: 128 op, 1800.00 ns, 14.0625 ns/op
OverheadActual  18: 128 op, 4300.00 ns, 33.5938 ns/op
OverheadActual  19: 128 op, 1700.00 ns, 13.2812 ns/op
OverheadActual  20: 128 op, 1400.00 ns, 10.9375 ns/op

WorkloadWarmup   1: 128 op, 982780600.00 ns, 7.6780 ms/op
WorkloadWarmup   2: 128 op, 969966300.00 ns, 7.5779 ms/op
WorkloadWarmup   3: 128 op, 981575000.00 ns, 7.6686 ms/op
WorkloadWarmup   4: 128 op, 986736600.00 ns, 7.7089 ms/op
WorkloadWarmup   5: 128 op, 971864600.00 ns, 7.5927 ms/op
WorkloadWarmup   6: 128 op, 970500400.00 ns, 7.5820 ms/op
WorkloadWarmup   7: 128 op, 964789200.00 ns, 7.5374 ms/op
